date,acres,lat,lon
2002-08-26T08:00:00Z,1.0,47.043803,-124.139587
2006-04-25T08:00:00Z,0.5,47.028677,-123.631086
1992-07-20T08:00:00Z,0.1,48.028261,-118.002253
1987-08-23T08:00:00Z,0.1,47.158165,-121.665665
1999-09-08T08:00:00Z,0.0,47.500028,-122.835688
1978-06-19T08:00:00Z,0.1,48.188531,-122.323919
1973-07-21T08:00:00Z,0.1,48.188531,-122.323919
2001-01-01T08:00:00Z,0.0,48.887871,-118.724086
1974-09-22T08:00:00Z,0.5,48.532062,-119.360008
2006-08-27T08:00:00Z,2.0,45.639143,-121.986155
2004-08-15T08:00:00Z,0.3,47.341489,-117.464344
1973-05-01T08:00:00Z,3.5,45.963863,-121.082711
2004-07-24T08:00:00Z,1.0,48.680434,-121.816836
1990-07-23T08:00:00Z,0.1,48.022942,-117.286869
2002-09-23T08:00:00Z,0.1,47.015325,-123.057545
2003-08-24T08:00:00Z,0.3,47.063663,-122.963317
1986-07-01T08:00:00Z,0.1,47.799486,-117.11994
1977-08-18T08:00:00Z,1.0,47.982593,-117.577056
1992-06-03T08:00:00Z,0.1,45.783011,-122.508718
1997-01-01T08:00:00Z,0.0,46.320273,-122.732649
2003-08-06T08:00:00Z,0.2,46.320273,-122.732649
1977-06-19T08:00:00Z,0.0,48.228602,-119.87429
1975-07-02T08:00:00Z,0.0,48.228602,-119.87429
2003-06-13T08:00:00Z,0.1,48.4654,-122.969303
1981-09-25T08:00:00Z,0.0,47.823745,-117.507897
2001-07-15T08:00:00Z,1.0,46.983417,-122.481455
1991-01-01T08:00:00Z,0.0,48.777432,-117.506675
2002-09-20T08:00:00Z,1.0,46.5338,-121.915708
1992-06-09T08:00:00Z,96.0,47.099782,-122.998951
1989-09-11T08:00:00Z,0.0,45.638974,-121.995331
1994-09-09T08:00:00Z,0.0,48.407244,-118.103653
1998-05-10T08:00:00Z,0.0,47.251995,-123.310174
2005-06-11T08:00:00Z,0.1,45.72346,-121.592114
1992-06-16T08:00:00Z,0.1,45.72346,-121.592114
1993-08-12T08:00:00Z,1.0,47.543965,-120.525997
1979-08-11T08:00:00Z,0.1,47.545732,-120.528666
1970-07-16T08:00:00Z,0.2,46.742516,-123.066679
2006-07-05T08:00:00Z,0.0,48.498126,-117.712327
1984-08-13T08:00:00Z,0.1,47.888229,-124.451417
1999-01-01T08:00:00Z,0.0,47.778525,-117.590775
1991-01-26T08:00:00Z,0.1,45.774359,-122.638607
1989-07-23T08:00:00Z,0.1,48.65268,-118.784361
1992-08-22T08:00:00Z,0.1,48.549345,-121.790458
2002-07-04T08:00:00Z,0.0,46.59457,-122.424854
1974-10-07T08:00:00Z,0.0,45.831186,-122.403665
1977-03-24T08:00:00Z,65.0,47.3404,-120.291735
